id,title,parent_id,path,source_id,taxonomy_id,item_id
24805,Radiation therapy,24775,/24457/24775/24805,321110,100,22731920
25261,Radiation and matter,25255,/25066/25255/25261,340702,100,22731920
30199,Nuclear physics,30196,/30082/30196/30199,510601,100,22731920
29224,Numerical computation and mathematical software,29206,/28798/29206/29224,461306,100,22731920
24193,Genomics and transcriptomics,24181,/24130/24181/24193,310204,100,22731623
24193,Genomics and transcriptomics,24181,/24130/24181/24193,310204,100,22731620
24193,Genomics and transcriptomics,24181,/24130/24181/24193,310204,100,22731374
26374,Timber engineering,26341,/26212/26341/26374,400511,100,22731056
28930,Data engineering and data science,28927,/28798/28927/28930,460501,100,19362011
28963,Data management and data science not elsewhere classified,28927,/28798/28927/28963,460599,100,19362011
29188,Programming languages,29176,/28798/29176/29188,461204,100,19362011
24193,Genomics and transcriptomics,24181,/24130/24181/24193,310204,100,22730546
29182,Empirical software engineering,29176,/28798/29176/29182,461202,100,22730126
26851,Agricultural engineering,26848,/26212/26848/26851,409901,100,21669857
24208,Bioinformatics and computational biology not elsewhere classified,24181,/24130/24181/24208,310299,100,22723685
24811,Oncology and carcinogenesis not elsewhere classified,24775,/24457/24775/24811,321199,100,22723685
24784,Cancer genetics,24775,/24457/24775/24784,321103,100,22723685
28810,Applications in life sciences,28801,/28798/28801/28810,460103,100,22723685
561,Microelectronics and Integrated Circuits,5,,,10,22327882
563,Photonics and Electro-Optical Engineering (excl. Communications),5,,,10,22327882
795,Optimisation,53,,,10,22327882
187,Nonlinear Optics and Spectroscopy,6,,,10,22327882
26362,Fire safety engineering,26341,/26212/26341/26362,400507,100,22726493
29194,Software architecture,29176,/28798/29176/29194,461206,100,21785444
37339,Cancer,0,/37339,,106,22725477
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22723667
24205,Translational and applied bioinformatics,24181,/24130/24181/24205,310208,100,22723667
24208,Bioinformatics and computational biology not elsewhere classified,24181,/24130/24181/24208,310299,100,22723667
29185,Formal methods for software,29176,/28798/29176/29185,461203,100,22722049
29215,Computational logic and formal languages,29206,/28798/29206/29215,461303,100,22722049
24208,Bioinformatics and computational biology not elsewhere classified,24181,/24130/24181/24208,310299,100,22655812
26494,Digital processor architectures,26485,/26212/26485/26494,400903,100,22655812
29236,Other information and computing sciences not elsewhere classified,29233,/28798/29233/29236,469999,100,22655812
29203,Software engineering not elsewhere classified,29176,/28798/29176/29203,461299,100,22655812
25792,Earth and space science informatics,25786,/25717/25786/25792,370402,100,21368871
29185,Formal methods for software,29176,/28798/29176/29185,461203,100,22720426
29215,Computational logic and formal languages,29206,/28798/29206/29215,461303,100,22720426
27220,Sports science and exercise not elsewhere classified,27208,/27001/27208/27220,420799,100,22720327
28933,Data mining and knowledge discovery,28927,/28798/28927/28933,460502,100,22718797
28954,Query processing and optimisation,28927,/28798/28927/28954,460509,100,22718533
28948,Information extraction and fusion,28927,/28798/28927/28948,460507,100,22718530
24175,Systems biology,24133,/24130/24133/24175,310114,100,22664848
24433,Comparative physiology,24397,/24130/24397/24433,310912,100,20231907
24220,Ecological physiology,24211,/24130/24211/24220,310303,100,20231907
24442,Zoology not elsewhere classified,24397,/24130/24397/24442,310999,100,20231907
25231,Colloid and surface chemistry,25222,/25066/25222/25231,340603,100,22336624
24169,Structural biology (incl. macromolecular modelling),24133,/24130/24133/24169,310112,100,22336624
24271,Phylogeny and comparative analysis,24241,/24130/24241/24271,310410,100,21725513
24250,Biological adaptation,24241,/24130/24241/24250,310403,100,21725513
24361,Microbial genetics,24349,/24130/24349/24361,310704,100,21725513
24199,Sequence analysis,24181,/24130/24181/24199,310206,100,21725513
24202,Statistical and quantitative genetics,24181,/24130/24181/24202,310207,100,21725513
25261,Radiation and matter,25255,/25066/25255/25261,340702,100,22716931
29224,Numerical computation and mathematical software,29206,/28798/29206/29224,461306,100,22716931
29158,Context learning,29152,/28798/29152/29158,461102,100,22708126
29161,Deep learning,29152,/28798/29152/29161,461103,100,22708126
29164,Neural networks,29152,/28798/29152/29164,461104,100,22708126
