,title
516,Musicology and ethnomusicology
517,Middle Eastern and North African history
518,Musicology and ethnomusicology
519,Middle Eastern and North African history
520,Musicology and ethnomusicology
521,Middle Eastern and North African history
522,Music performance
523,Musicology and ethnomusicology
524,Middle Eastern and North African history
525,Musicology and ethnomusicology
526,Music performance
527,Middle Eastern and North African history
528,Musicology and ethnomusicology
529,Music performance
530,Aquaculture
531,Musicology and ethnomusicology
532,Middle Eastern and North African history
533,Musicology and ethnomusicology
534,Middle Eastern and North African history
535,Musicology and ethnomusicology
536,Music performance
537,Musicology and ethnomusicology
538,Music performance
539,Data communications
540,"Data models, storage and indexing"
541,Chemical engineering not elsewhere classified
542,Data communications
543,"Data models, storage and indexing"
544,Chemical engineering not elsewhere classified
545,Data communications
546,"Data models, storage and indexing"
547,Chemical engineering not elsewhere classified
548,Data communications
549,Chemical engineering not elsewhere classified
550,Data communications
551,"Data models, storage and indexing"
552,Chemical engineering not elsewhere classified
553,Oceanography not elsewhere classified
554,Glaciology
555,Animal structure and function
556,"Art history, theory and criticism not elsewhere classified"
557,Animal structure and function
558,Animal structure and function
559,"Art history, theory and criticism not elsewhere classified"
560,"Drama, theatre and performance studies"
561,"Drama, theatre and performance studies"
562,"Drama, theatre and performance studies"
563,"Drama, theatre and performance studies"
564,"Drama, theatre and performance studies"
565,"Drama, theatre and performance studies"
566,"Drama, theatre and performance studies"
567,"Drama, theatre and performance studies"
568,"Drama, theatre and performance studies"
569,"Drama, theatre and performance studies"
570,"Drama, theatre and performance studies"
571,"Heritage, archive and museum studies not elsewhere classified"
572,"Critical heritage, museum and archive studies"
573,"Archaeology of Europe, the Mediterranean and the Levant"
574,Digital archaeology
575,Archaeology not elsewhere classified
576,Archaeological science
577,Heritage collections and interpretations
578,Art history
579,Digital heritage
580,Applications in arts and humanities
581,Heritage and cultural conservation
582,Materials conservation
583,Volcanology
584,Structural geology and tectonics
585,Resource geoscience
586,Structural geology and tectonics
587,Volcanology
588,Digital heritage
589,Performing arts not elsewhere classified
590,Digital heritage
591,Performing arts not elsewhere classified
592,Digital heritage
593,Performing arts not elsewhere classified
594,Digital heritage
595,Performing arts not elsewhere classified
596,Digital heritage
597,Performing arts not elsewhere classified
598,Digital heritage
599,Performing arts not elsewhere classified
600,Digital heritage
601,Performing arts not elsewhere classified
602,Digital heritage
603,Performing arts not elsewhere classified
604,Digital heritage
605,Performing arts not elsewhere classified
606,Digital heritage
607,Performing arts not elsewhere classified
608,Digital heritage
609,Performing arts not elsewhere classified
610,Digital heritage
611,Performing arts not elsewhere classified
612,Digital heritage
613,Performing arts not elsewhere classified
614,Digital heritage
615,Performing arts not elsewhere classified
616,Digital heritage
617,Performing arts not elsewhere classified
618,Digital heritage
619,Performing arts not elsewhere classified
620,Digital heritage
621,Performing arts not elsewhere classified
622,Digital heritage
623,Performing arts not elsewhere classified
624,Digital heritage
625,Performing arts not elsewhere classified
626,Digital heritage
627,Performing arts not elsewhere classified
628,Digital heritage
629,Performing arts not elsewhere classified
630,Digital heritage
631,Performing arts not elsewhere classified
632,Digital heritage
633,Performing arts not elsewhere classified
634,Digital heritage
635,Performing arts not elsewhere classified
636,Digital heritage
637,Performing arts not elsewhere classified
638,Digital heritage
639,Performing arts not elsewhere classified
640,Digital heritage
641,Performing arts not elsewhere classified
642,Digital heritage
643,Performing arts not elsewhere classified
644,Digital heritage
645,Performing arts not elsewhere classified
646,Digital heritage
647,Performing arts not elsewhere classified
648,Digital heritage
649,Performing arts not elsewhere classified
650,Digital heritage
651,Performing arts not elsewhere classified
652,Digital heritage
653,Performing arts not elsewhere classified
654,Digital heritage
655,Performing arts not elsewhere classified
656,Digital heritage
657,Performing arts not elsewhere classified
658,Open access
659,Library studies
660,Library and information studies not elsewhere classified
661,Education policy
662,"Education policy, sociology and philosophy not elsewhere classified"
663,Inclusive education
664,Special education and disability
665,Health and community services
666,People with disability
667,Health equity
668,Open access
669,Library and information studies not elsewhere classified
670,Data management and data science not elsewhere classified
671,"Other language, communication and culture not elsewhere classified"
672,Software engineering not elsewhere classified
673,Open access
674,Organisation of information and knowledge resources
675,Data management and data science not elsewhere classified
676,Library and information studies not elsewhere classified
677,Open access
678,Organisation of information and knowledge resources
679,Software engineering not elsewhere classified
680,"Software quality, processes and metrics"
681,"Software testing, verification and validation"
682,Open access
683,Library and information studies not elsewhere classified
684,Digital curation and preservation
685,Organisation of information and knowledge resources
686,Data management and data science not elsewhere classified
687,"Data models, storage and indexing"
688,Open access
689,Library and information studies not elsewhere classified
690,"Other language, communication and culture not elsewhere classified"
691,Data management and data science not elsewhere classified
692,Programming languages
693,Software engineering not elsewhere classified
694,"Software testing, verification and validation"
695,Open access
696,Organisation of information and knowledge resources
697,Open access
698,Library and information studies not elsewhere classified
699,Library studies
700,Organisation of information and knowledge resources
701,Data management and data science not elsewhere classified
702,"Other language, communication and culture not elsewhere classified"
703,Library and information studies not elsewhere classified
704,Open access
705,Organisation of information and knowledge resources
706,Data management and data science not elsewhere classified
707,Software engineering not elsewhere classified
708,"Other language, communication and culture not elsewhere classified"
709,Data management and data science not elsewhere classified
710,Open access
711,Library and information studies not elsewhere classified
712,Open access
713,Library and information studies not elsewhere classified
714,"Other language, communication and culture not elsewhere classified"
715,Data management and data science not elsewhere classified
716,Data management and data science not elsewhere classified
717,"Other language, communication and culture not elsewhere classified"
718,Open access
719,Digital curation and preservation
720,Knowledge and information management
721,Knowledge and information management
722,Data management and data science not elsewhere classified
723,Digital curation and preservation
724,Organisation of information and knowledge resources
725,Open access
726,Knowledge and information management
727,Data management and data science not elsewhere classified
728,Digital curation and preservation
729,Organisation of information and knowledge resources
730,Open access
731,Knowledge and information management
732,Data management and data science not elsewhere classified
733,Digital curation and preservation
734,Organisation of information and knowledge resources
735,Open access
736,Knowledge and information management
737,Data management and data science not elsewhere classified
738,Digital curation and preservation
739,Organisation of information and knowledge resources
740,Open access
741,Knowledge and information management
742,Data management and data science not elsewhere classified
743,Digital curation and preservation
744,Organisation of information and knowledge resources
745,Open access
746,Molecular imaging (incl. electron microscopy and neutron diffraction)
747,Knowledge and information management
748,Data management and data science not elsewhere classified
749,Digital curation and preservation
750,Organisation of information and knowledge resources
751,Open access
752,Terrestrial ecology
753,Materials engineering not elsewhere classified
754,Computer vision
755,Intelligent robotics
756,Glaciology
757,Sociological methodology and research methods
758,Mobile computing
759,Library and information studies not elsewhere classified
760,Human information behaviour
761,Other information and computing sciences not elsewhere classified
762,Archaeology not elsewhere classified
763,Community planning
764,Urban design
765,Architecture not elsewhere classified
766,Archaeology not elsewhere classified
767,Archaeology not elsewhere classified
768,Archaeology not elsewhere classified
769,"Control engineering, mechatronics and robotics not elsewhere classified"
770,Intelligent robotics
771,Musicology and ethnomusicology
772,Music therapy
773,Music performance
774,Water resources engineering
775,Groundwater quality processes and contaminated land assessment
776,Surface water quality processes and contaminated sediment assessment
777,Water treatment processes
778,"Control engineering, mechatronics and robotics not elsewhere classified"
779,Intelligent robotics
780,"Control engineering, mechatronics and robotics not elsewhere classified"
781,Intelligent robotics
782,Intelligent robotics
783,"Control engineering, mechatronics and robotics not elsewhere classified"
784,"Control engineering, mechatronics and robotics not elsewhere classified"
785,Intelligent robotics
786,Biochemistry and cell biology not elsewhere classified
787,"Building science, technologies and systems"
788,Agricultural biotechnology not elsewhere classified
789,Solar physics
790,Animal behaviour
791,Animal physiology - systems
792,Animal physiology - biophysics
793,Animal physiology - cell
794,Signal processing
795,Artificial intelligence not elsewhere classified
796,Human-computer interaction
797,Natural language processing
798,Pattern recognition
799,Data mining and knowledge discovery
800,Space instrumentation
801,Planetary geology
802,Statistics not elsewhere classified
803,Animal neurobiology
804,Neurosciences not elsewhere classified
805,Agricultural biotechnology not elsewhere classified
806,Animal behaviour
807,Health care administration
808,Health policy
809,Reproduction
810,High energy astrophysics and galactic cosmic rays
811,Astroparticle physics and particle cosmology
812,Cosmology and extragalactic astronomy
813,Astronomical sciences not elsewhere classified
814,Animal neurobiology
815,Educational psychology
816,Educational psychology
817,Educational psychology
818,Design not elsewhere classified
819,Design not elsewhere classified
820,"Sensory processes, perception and performance"
821,"Drama, theatre and performance studies"
822,Performance art
823,"Sensory processes, perception and performance"
824,"Drama, theatre and performance studies"
825,Performance art
826,"Sensory processes, perception and performance"
827,"Drama, theatre and performance studies"
828,Performance art
829,"Sensory processes, perception and performance"
830,"Drama, theatre and performance studies"
831,Performance art
832,"Sensory processes, perception and performance"
833,"Drama, theatre and performance studies"
834,Performance art
835,"Sensory processes, perception and performance"
836,"Drama, theatre and performance studies"
837,Performance art
838,"Sensory processes, perception and performance"
839,"Drama, theatre and performance studies"
840,Performance art
841,"Sensory processes, perception and performance"
842,"Drama, theatre and performance studies"
843,Performance art
844,"Sensory processes, perception and performance"
845,"Drama, theatre and performance studies"
846,Performance art
847,Design not elsewhere classified
848,Design not elsewhere classified
849,Design not elsewhere classified
850,Design not elsewhere classified
851,Design not elsewhere classified
852,Gender studies not elsewhere classified
853,Feminist theory
854,Historical studies not elsewhere classified
855,Media studies
856,Feminist theory
857,Gender studies not elsewhere classified
858,Historical studies not elsewhere classified
859,"Gender, sexuality and education"
860,Gender studies not elsewhere classified
861,Historical studies not elsewhere classified
862,Feminist theory
863,"Gender, sexuality and education"
864,Gender studies not elsewhere classified
865,Historical studies not elsewhere classified
866,Feminist theory
867,"Gender, sexuality and education"
868,Gender studies not elsewhere classified
869,Feminist theory
870,Historical studies not elsewhere classified
871,"Gender, sexuality and education"
872,Gender studies not elsewhere classified
873,Feminist theory
874,Historical studies not elsewhere classified
875,Historical studies not elsewhere classified
876,"Gender, sexuality and education"
877,Gender studies not elsewhere classified
878,Feminist theory
879,Media studies
880,Feminist theory
881,Historical studies not elsewhere classified
