,title
2051,"Computational methods in fluid flow, heat and mass transfer (incl. computational fluid dynamics)"
2052,Computational chemistry
2053,Design not elsewhere classified
2054,Theoretical quantum chemistry
2055,Acoustics and acoustical devices; waves
2056,Complex physical systems
2057,Fluid mechanics and thermal engineering not elsewhere classified
2058,Computational chemistry
2059,Interaction and experience design
2060,"Research, science and technology policy"
2061,Informetrics
2062,Informetrics
2063,Informetrics
2064,Architectural design
2065,Architectural heritage and conservation
2066,"Architectural history, theory and criticism"
2067,Architectural science and technology
2068,Other built environment and design not elsewhere classified
2069,"Design history, theory and criticism"
2070,Design not elsewhere classified
2071,Landscape architecture
2072,Regional analysis and development
2073,Transport planning
2074,Urban analysis and development
2075,Urban design
2076,Urban and regional planning not elsewhere classified
2077,Visual communication design (incl. graphic design)
2078,Architecture not elsewhere classified
2079,Community planning
2080,Visual communication design (incl. graphic design)
2081,Architectural design
2082,Architectural heritage and conservation
2083,"Architectural history, theory and criticism"
2084,Architectural science and technology
2085,Architecture management
2086,Architecture not elsewhere classified
2087,Building not elsewhere classified
2088,Other built environment and design not elsewhere classified
2089,Community planning
2090,"Design history, theory and criticism"
2091,Design not elsewhere classified
2092,Design management
2093,Design practice and methods
2094,History and theory of the built environment (excl. architecture)
2095,Landscape architecture
2096,Regional analysis and development
2097,Transport planning
2098,Urban analysis and development
2099,Urban design
2100,Urban and regional planning not elsewhere classified
2101,Visual communication design (incl. graphic design)
2102,Architectural design
2103,Architectural heritage and conservation
2104,"Architectural history, theory and criticism"
2105,Architecture management
2106,Architecture not elsewhere classified
2107,Other built environment and design not elsewhere classified
2108,Community planning
2109,Design management
2110,Design practice and methods
2111,History and theory of the built environment (excl. architecture)
2112,Landscape architecture
2113,Transport planning
2114,Urban analysis and development
2115,Urban design
2116,Urban and regional planning not elsewhere classified
2117,Other information and computing sciences not elsewhere classified
2118,Library and information studies not elsewhere classified
2119,Design not elsewhere classified
2120,"Heritage, archive and museum studies not elsewhere classified"
2121,"Design history, theory and criticism"
2122,Urban analysis and development
2123,Urban design
2124,Urban and regional planning not elsewhere classified
2125,Visual communication design (incl. graphic design)
2126,History and theory of the built environment (excl. architecture)
2127,Other built environment and design not elsewhere classified
2128,Architecture not elsewhere classified
2129,Informetrics
2130,Informetrics
2131,Composite and hybrid materials
2132,"Multicultural, intercultural and cross-cultural studies"
2133,Industrial and product design
2134,Interaction and experience design
2135,People with disability
2136,Health care administration
2137,"Welfare, insurance, disability and social security law"
2138,"Psychological methodology, design and analysis"
2139,Other psychology not elsewhere classified
2140,Natural hazards
2141,Library and information studies not elsewhere classified
2142,Informetrics
2143,Architectural design
2144,Design not elsewhere classified
2145,"Housing markets, development and management"
2146,Other built environment and design not elsewhere classified
2147,"Welfare, insurance, disability and social security law"
2148,Biomechanical engineering
2149,Clinical microbiology
2150,Informetrics
2151,Other education not elsewhere classified
2152,Higher education
2153,Chemical engineering not elsewhere classified
2154,Chemical engineering not elsewhere classified
2155,Chemical engineering not elsewhere classified
2156,Materials engineering not elsewhere classified
2157,Design not elsewhere classified
2158,Design not elsewhere classified
2159,Design not elsewhere classified
2160,Design not elsewhere classified
2161,Design not elsewhere classified
2162,Design not elsewhere classified
2163,Design not elsewhere classified
2164,Library and Information Studies
2165,Uncategorized
2166,Uncategorized
2167,Uncategorized
2168,Uncategorized
2169,Uncategorized
2170,Condensed Matter Physics
2171,Uncategorized
2172,Uncategorized
2173,Uncategorized
2174,Uncategorized
2175,Uncategorized
2176,Uncategorized
2177,Uncategorized
2178,Uncategorized
2179,Uncategorized
2180,Uncategorized
2181,Uncategorized
2182,Uncategorized
2183,Uncategorized
2184,Uncategorized
2185,Philosophy
2186,Computation Theory and Mathematics
2187,Uncategorized
2188,Uncategorized
2189,Uncategorized
2190,Uncategorized
2191,Uncategorized
2192,Uncategorized
2193,Uncategorized
2194,Uncategorized
2195,Uncategorized
2196,Uncategorized
2197,Uncategorized
2198,Uncategorized
2199,Uncategorized
2200,Uncategorized
2201,Uncategorized
2202,Uncategorized
2203,Uncategorized
2204,Uncategorized
2205,Uncategorized
2206,Uncategorized
2207,Uncategorized
2208,Uncategorized
2209,Uncategorized
2210,Uncategorized
2211,Uncategorized
2212,Uncategorized
2213,Uncategorized
2214,Uncategorized
2215,Conservation and biodiversity
2216,Environmental assessment and monitoring
2217,Other environmental sciences not elsewhere classified
2218,Library studies
2219,Library and information studies not elsewhere classified
2220,Other education not elsewhere classified
2221,Higher education
2222,Animal structure and function
2223,Animal structure and function
2224,Animal structure and function
2225,Animal structure and function
2226,Digital heritage
2227,Infectious diseases
2228,Modelling and simulation
2229,Mental health services
2230,Programming languages
2231,Communication technology and digital media studies
2232,Communication technology and digital media studies
2233,Legal institutions (incl. courts and justice systems)
2234,Health care administration
2235,Health and community services
2236,Digital heritage
2237,Historical archaeology (incl. industrial archaeology)
2238,"Other history, heritage and archaeology not elsewhere classified"
2239,Archaeology not elsewhere classified
2240,Archaeological science
2241,"Archaeology of Europe, the Mediterranean and the Levant"
2242,"Archaeology of Asia, Africa and the Americas"
2243,Heritage and cultural conservation
2244,History and philosophy of the humanities
2245,Interaction and experience design
2246,Other human society not elsewhere classified
2247,Other information and computing sciences not elsewhere classified
2248,"Humanities and social sciences curriculum and pedagogy (excl. economics, business and management)"
2249,Geology not elsewhere classified
2250,Structural geology and tectonics
2251,Volcanology
2252,"Business information management (incl. records, knowledge and intelligence)"
2253,Information systems not elsewhere classified
2254,Nutrition and dietetics not elsewhere classified
2255,Marketing communications
2256,Marketing not elsewhere classified
2257,Public health nutrition
2258,Nutrition and dietetics not elsewhere classified
2259,Public health nutrition
2260,Marketing communications
2261,Marketing not elsewhere classified
2262,Nutrition and dietetics not elsewhere classified
2263,Marketing not elsewhere classified
2264,Marketing communications
2265,Public health nutrition
2266,Aged health care
2267,Translation and interpretation studies
2268,Aged health care
2269,Health care administration
2270,Translation and interpretation studies
2271,Knowledge representation and reasoning
2272,Bioinformatics and computational biology not elsewhere classified
2273,Virology
2274,Knowledge representation and reasoning
2275,Other human society not elsewhere classified
2276,Library studies
2277,Library and information studies not elsewhere classified
2278,Primary health care
2279,Health care administration
2280,Other education not elsewhere classified
2281,Bioinformatics and computational biology not elsewhere classified
2282,Bioinformatics and computational biology not elsewhere classified
2283,Biochemistry and cell biology not elsewhere classified
2284,Oncology and carcinogenesis not elsewhere classified
2285,Bioinformatics and computational biology not elsewhere classified
2286,Bioinformatics and computational biology not elsewhere classified
2287,Other biological sciences not elsewhere classified
2288,Econometrics not elsewhere classified
2289,Statistics not elsewhere classified
2290,Other education not elsewhere classified
2291,Other engineering not elsewhere classified
2292,Library and information studies not elsewhere classified
2293,Digital heritage
2294,Library and information studies not elsewhere classified
2295,Digital heritage
2296,Other psychology not elsewhere classified
2297,Neurosciences not elsewhere classified
2298,Psychopharmacology
2299,Psychophysiology
2300,Bioinformatics and computational biology not elsewhere classified
2301,"Sensory processes, perception and performance"
2302,Pharmaceutical sciences
2303,Pharmaceutical sciences
2304,Industrial and product design
2305,Epidemiology not elsewhere classified
2306,Health promotion
2307,Health and community services
2308,Health economics
2309,Epidemiology not elsewhere classified
2310,Health promotion
2311,Health and community services
2312,Health care administration
2313,Epidemiology not elsewhere classified
2314,Health promotion
2315,Health and community services
2316,Health economics
2317,Library and information studies not elsewhere classified
2318,Library studies
2319,Neurosciences not elsewhere classified
2320,Neurosciences not elsewhere classified
2321,Neurosciences not elsewhere classified
2322,Neurosciences not elsewhere classified
2323,Performing arts not elsewhere classified
2324,Other biomedical and clinical sciences not elsewhere classified
2325,Epidemiology not elsewhere classified
2326,Geology not elsewhere classified
2327,Exploration geochemistry
2328,Geology not elsewhere classified
2329,Higher education
2330,Teacher education and professional development of educators
2331,Library and information studies not elsewhere classified
2332,Evolution of developmental systems
2333,Evolution of developmental systems
2334,Linguistics not elsewhere classified
2335,Modelling and simulation
2336,"Food packaging, preservation and processing"
2337,"Cultural studies of agriculture, food and wine"
2338,"Food packaging, preservation and processing"
2339,Food sciences not elsewhere classified
2340,Food sustainability
2341,Cultural geography
2342,Other health sciences not elsewhere classified
2343,Applied statistics
2344,Applied statistics
2345,Other health sciences not elsewhere classified
2346,Applied statistics
2347,Health economics
2348,Other biomedical and clinical sciences not elsewhere classified
2349,Biostatistics
2350,Biostatistics
2351,Applied statistics
2352,Applied statistics
2353,Other health sciences not elsewhere classified
2354,Other health sciences not elsewhere classified
2355,Applied statistics
2356,Design not elsewhere classified
2357,Applied statistics
2358,Other health sciences not elsewhere classified
2359,Environmental communication
2360,Communication technology and digital media studies
2361,Sociology and social studies of science and technology
2362,Control engineering
2363,"Control engineering, mechatronics and robotics not elsewhere classified"
2364,"Simulation, modelling, and programming of mechatronics systems"
2365,Library and information studies not elsewhere classified
2366,Health economics
2367,Other health sciences not elsewhere classified
2368,Health economics
2369,Other health sciences not elsewhere classified
2370,Health economics
2371,Health care administration
2372,Library studies
2373,Applied statistics
2374,Epidemiology not elsewhere classified
2375,Public health not elsewhere classified
2376,Applied statistics
2377,Other health sciences not elsewhere classified
2378,Health economics
2379,Public health not elsewhere classified
2380,Public health not elsewhere classified
2381,Public health not elsewhere classified
2382,Health economics
2383,Health economics
2384,Health economics
2385,Community child health
2386,Public health not elsewhere classified
2387,Health economics
2388,Health economics
2389,Health economics
2390,Health economics
2391,Health economics
2392,Evolution of developmental systems
2393,Health economics
2394,Information retrieval and web search
2395,Health economics
2396,Health economics
2397,Health care administration
2398,Health care administration
2399,Health economics
2400,Health economics
2401,Health economics
2402,Health economics
2403,Health economics
2404,Health economics
2405,Health economics
2406,Urban analysis and development
2407,Oncology and carcinogenesis not elsewhere classified
2408,Data management and data science not elsewhere classified
2409,Computational linguistics
2410,Natural language processing
2411,Nutrition and dietetics not elsewhere classified
2412,Machine learning not elsewhere classified
2413,Linguistics not elsewhere classified
2414,Linguistics not elsewhere classified
2415,Linguistics not elsewhere classified
2416,Linguistics not elsewhere classified
2417,Linguistics not elsewhere classified
2418,Linguistics not elsewhere classified
2419,Linguistics not elsewhere classified
2420,Linguistics not elsewhere classified
2421,Linguistics not elsewhere classified
2422,Linguistics not elsewhere classified
2423,Linguistics not elsewhere classified
2424,Linguistics not elsewhere classified
2425,Linguistics not elsewhere classified
2426,Linguistics not elsewhere classified
2427,Linguistics not elsewhere classified
2428,Linguistics not elsewhere classified
2429,Linguistics not elsewhere classified
2430,Linguistics not elsewhere classified
2431,Linguistics not elsewhere classified
2432,Linguistics not elsewhere classified
2433,Linguistics not elsewhere classified
2434,Linguistics not elsewhere classified
2435,Linguistics not elsewhere classified
2436,Linguistics not elsewhere classified
2437,Linguistics not elsewhere classified
2438,Linguistics not elsewhere classified
2439,Linguistics not elsewhere classified
2440,Linguistics not elsewhere classified
2441,Linguistics not elsewhere classified
2442,Linguistics not elsewhere classified
2443,Linguistics not elsewhere classified
2444,Linguistics not elsewhere classified
2445,Linguistics not elsewhere classified
2446,Linguistics not elsewhere classified
2447,Linguistics not elsewhere classified
2448,Interaction and experience design
2449,Industrial and product design
2450,Design not elsewhere classified
2451,"Other commerce, management, tourism and services not elsewhere classified"
2452,Digital heritage
2453,Water resources engineering
2454,Groundwater quality processes and contaminated land assessment
2455,Surface water quality processes and contaminated sediment assessment
2456,Water treatment processes
2457,Water treatment processes
2458,Water treatment processes
2459,Water treatment processes
2460,Water treatment processes
2461,Water treatment processes
2462,Water treatment processes
2463,Water treatment processes
2464,Water treatment processes
2465,Water treatment processes
2466,Water treatment processes
2467,Water resources engineering
2468,Water resources engineering
2469,Groundwater quality processes and contaminated land assessment
2470,Surface water quality processes and contaminated sediment assessment
2471,Wastewater treatment processes
2472,Water resources engineering
2473,Groundwater quality processes and contaminated land assessment
2474,Surface water quality processes and contaminated sediment assessment
2475,Water resources engineering
2476,Groundwater quality processes and contaminated land assessment
2477,Surface water quality processes and contaminated sediment assessment
2478,Water resources engineering
2479,Groundwater quality processes and contaminated land assessment
2480,Surface water quality processes and contaminated sediment assessment
2481,Water resources engineering
2482,Water resources engineering
2483,Water resources engineering
2484,Wastewater treatment processes
2485,Water resources engineering
2486,Water resources engineering
2487,Water resources engineering
2488,Wastewater treatment processes
2489,Water treatment processes
2490,Design not elsewhere classified
2491,Design not elsewhere classified
2492,Ceramics
2493,Additive manufacturing
2494,Functional materials
2495,Macromolecular and materials chemistry not elsewhere classified
2496,Functional materials
2497,Ceramics
2498,Nanomaterials
2499,Macromolecular and materials chemistry not elsewhere classified
2500,Functional materials
2501,Uncategorized
2502,Uncategorized
2503,Uncategorized
2504,Uncategorized
2505,Uncategorized
2506,Uncategorized
2507,Uncategorized
2508,Uncategorized
2509,Uncategorized
2510,Uncategorized
2511,Uncategorized
2512,Modelling and simulation
2513,Statistical data science
2514,Software engineering not elsewhere classified
2515,Software engineering not elsewhere classified
2516,Modelling and simulation
2517,Networking and communications
2518,Physical oceanography
2519,Statistics not elsewhere classified
2520,Statistics not elsewhere classified
2521,Statistics not elsewhere classified
2522,Statistics not elsewhere classified
2523,Natural language processing
2524,Software engineering not elsewhere classified
2525,Applied computing not elsewhere classified
2526,Climatology
2527,Mechanical engineering not elsewhere classified
2528,Marine and estuarine ecology (incl. marine ichthyology)
2529,Vertebrate biology
2530,Zoology not elsewhere classified
2531,Marine and estuarine ecology (incl. marine ichthyology)
2532,Zoology not elsewhere classified
2533,Vertebrate biology
2534,Marine and estuarine ecology (incl. marine ichthyology)
2535,Zoology not elsewhere classified
2536,Vertebrate biology
2537,Climatology
2538,Climatology
2539,Genomics
2540,Bioinformatics and computational biology not elsewhere classified
2541,Applications in life sciences
2542,Humoural immunology and immunochemistry
2543,Oceanography not elsewhere classified
2544,Modelling and simulation
2545,Knowledge representation and reasoning
2546,Software engineering not elsewhere classified
2547,Modelling and simulation
2548,Networking and communications
2549,Environment policy
2550,Other economics not elsewhere classified
2551,Economic models and forecasting
2552,Time-series analysis
2553,Time-series analysis
2554,Finance
2555,Computational complexity and computability
2556,Statistics not elsewhere classified
2557,Statistics not elsewhere classified
2558,Stochastic analysis and modelling
2559,Statistics not elsewhere classified
2560,Statistics not elsewhere classified
2561,Hydrology not elsewhere classified
2562,Hydrometallurgy
2563,Statistics not elsewhere classified
2564,Financial mathematics
2565,Population ecology
2566,Programming languages
2567,Statistics not elsewhere classified
2568,Biostatistics
2569,Applied statistics
2570,Immunology not elsewhere classified
2571,Immunology not elsewhere classified
2572,Cellular immunology
2573,Respiratory diseases
2574,Bioinformatics and computational biology not elsewhere classified
2575,Biostatistics
2576,Statistics not elsewhere classified
2577,Bioinformatics and computational biology not elsewhere classified
2578,Software engineering not elsewhere classified
2579,High energy astrophysics and galactic cosmic rays
2580,Neurosciences not elsewhere classified
2581,Psychophysiology
2582,Climate change processes
2583,Other earth sciences not elsewhere classified
2584,Glaciology
2585,Geomorphology and earth surface processes
2586,Surface water hydrology
2587,Meteorology
2588,Earth and space science informatics
2589,Genomics and transcriptomics
2590,Bioinformatics and computational biology not elsewhere classified
2591,Sequence analysis
2592,Genomics and transcriptomics
2593,Econometric and statistical methods
2594,Other education not elsewhere classified
2595,Sociology not elsewhere classified
2596,Sociological methodology and research methods
2597,Sociology of education
2598,Education assessment and evaluation
2599,Econometric and statistical methods
2600,Other education not elsewhere classified
2601,Sociology not elsewhere classified
2602,Education assessment and evaluation
2603,Education policy
2604,Sociological methodology and research methods
2605,Sociology of education
2606,Econometric and statistical methods
2607,Other education not elsewhere classified
2608,Sociology not elsewhere classified
2609,Sociological methodology and research methods
2610,Sociology of education
2611,Education assessment and evaluation
2612,Econometric and statistical methods
2613,Other education not elsewhere classified
2614,Sociology of education
2615,Education assessment and evaluation
2616,Sociology not elsewhere classified
2617,Sociological methodology and research methods
2618,Bioinformatics and computational biology not elsewhere classified
2619,Applications in life sciences
2620,Bioinformatics and computational biology not elsewhere classified
2621,Applications in life sciences
2622,Bioinformatics and computational biology not elsewhere classified
2623,Applications in life sciences
2624,Bioinformatics and computational biology not elsewhere classified
2625,Applications in life sciences
2626,Neurosciences not elsewhere classified
2627,Neurosciences not elsewhere classified
2628,Pharmacology and pharmaceutical sciences not elsewhere classified
2629,Other physical sciences not elsewhere classified
2630,Atomic and molecular physics
2631,Applications in physical sciences
2632,Foundations of quantum mechanics
2633,"Quantum information, computation and communication"
2634,Degenerate quantum gases and atom optics
2635,Applied computing not elsewhere classified
2636,Educational psychology
2637,Biomedical engineering not elsewhere classified
2638,Bioinformatics and computational biology not elsewhere classified
2639,Applications in life sciences
2640,Environmental assessment and monitoring
2641,Cross-sectional analysis
2642,Cross-sectional analysis
2643,Cross-sectional analysis
2644,Cross-sectional analysis
2645,Health informatics and information systems
2646,Bioinformatics and computational biology not elsewhere classified
2647,Applications in life sciences
2648,Clinical psychology
2649,Mental health services
2650,"Psychological methodology, design and analysis"
2651,Microbiology not elsewhere classified
2652,Genomics
2653,Counselling psychology
2654,Health psychology
2655,Oncology and carcinogenesis not elsewhere classified
2656,Clinical psychology
2657,Counselling psychology
2658,Health psychology
2659,Software engineering not elsewhere classified
2660,Information systems not elsewhere classified
2661,Distributed systems and algorithms
2662,Knowledge representation and reasoning
2663,"Sensory processes, perception and performance"
2664,Biomechanical engineering
2665,Computer graphics
2666,Animal physiology - biophysics
2667,Animal physiology - cell
2668,Animal physiology - systems
2669,Ecology not elsewhere classified
2670,Public health not elsewhere classified
2671,Public policy
2672,Occupational and workplace health and safety
2673,Atmospheric dynamics
2674,Cloud physics
2675,Meteorology
2676,Genomics
2677,Knowledge representation and reasoning
2678,Knowledge representation and reasoning
2679,Data communications
2680,High energy astrophysics and galactic cosmic rays
2681,Astroparticle physics and particle cosmology
2682,Image processing
2683,High energy astrophysics and galactic cosmic rays
2684,Astroparticle physics and particle cosmology
2685,Aged health care
2686,Sub-acute care
2687,Geriatrics and gerontology
2688,Health care administration
2689,Occupational and workplace health and safety
2690,Oncology and carcinogenesis not elsewhere classified
2691,Computer graphics
2692,Statistical and quantitative genetics
2693,Structural engineering
2694,Optimisation
2695,Civil geotechnical engineering
2696,Numerical modelling and mechanical characterisation
2697,Terrestrial ecology
2698,Sports science and exercise not elsewhere classified
2699,Clinical microbiology
2700,Bacteriology
2701,Receptors and membrane biology
2702,Volcanology
2703,Bacteriology
2704,Organisation of information and knowledge resources
2705,Biomechanical engineering
2706,Biomedical engineering not elsewhere classified
2707,Other biological sciences not elsewhere classified
2708,Glaciology
2709,Demography not elsewhere classified
2710,Animal behaviour
2711,Behavioural neuroscience
2712,Bioinformatics and computational biology not elsewhere classified
2713,Neurosciences not elsewhere classified
2714,Human information behaviour
2715,Animal physiology - biophysics
2716,Human biophysics
2717,Ecology not elsewhere classified
2718,Marine and estuarine ecology (incl. marine ichthyology)
2719,Health economics
2720,Materials engineering not elsewhere classified
2721,Evolutionary computation
2722,Fuzzy computation
2723,Intelligent robotics
2724,Modelling and simulation
2725,Intelligent robotics
2726,Evolutionary computation
2727,Fuzzy computation
2728,Modelling and simulation
2729,Signal processing
2730,Biological physics
2731,Artificial intelligence not elsewhere classified
2732,Computer vision
2733,Artificial intelligence not elsewhere classified
2734,Ecology not elsewhere classified
2735,Signal processing
2736,Signal processing
2737,"Control engineering, mechatronics and robotics not elsewhere classified"
2738,Glaciology
2739,Behavioural neuroscience
2740,Knowledge representation and reasoning
2741,Software engineering not elsewhere classified
2742,"Computational methods in fluid flow, heat and mass transfer (incl. computational fluid dynamics)"
2743,Water resources engineering
2744,Groundwater quality processes and contaminated land assessment
2745,Surface water quality processes and contaminated sediment assessment
2746,Fluid mechanics and thermal engineering not elsewhere classified
2747,Wastewater treatment processes
2748,Glaciology
2749,"Psychological methodology, design and analysis"
2750,Applied and developmental psychology not elsewhere classified
2751,Genomics
2752,Conservation and biodiversity
2753,Ecology not elsewhere classified
2754,"Food packaging, preservation and processing"
2755,"Food safety, traceability, certification and authenticity"
2756,Food and hospitality services
2757,Modelling and simulation
2758,Software engineering not elsewhere classified
2759,Bioinformatics and computational biology not elsewhere classified
2760,Bioinformatics and computational biology not elsewhere classified
2761,Ecology not elsewhere classified
2762,Animal physiological ecology
2763,Ecological physiology
2764,Global change biology
2765,Marine and estuarine ecology (incl. marine ichthyology)
2766,Aerospace engineering not elsewhere classified
2767,Automation engineering
2768,Control engineering
2769,Automotive mechatronics and autonomous systems
2770,Autonomous vehicle systems
2771,Automotive safety engineering
2772,Avionics
2773,"Control engineering, mechatronics and robotics not elsewhere classified"
2774,"Dynamics, vibration and vibration control"
2775,Flight dynamics
2776,Mechanical engineering not elsewhere classified
2777,Aircraft performance and flight control systems
2778,Artificial intelligence not elsewhere classified
2779,"Control engineering, mechatronics and robotics not elsewhere classified"
2780,Automation engineering
2781,Control engineering
2782,Automation engineering
2783,Control engineering
2784,Circuits and systems
2785,Electrical engineering not elsewhere classified
2786,Compound semiconductors
2787,Biological mathematics
2788,Animal structure and function
2789,Evolution of developmental systems
2790,Electrical engineering not elsewhere classified
2791,Applied Mathematics
2792,Applied Mathematics
2793,Applied Mathematics
2794,Applied Mathematics
2795,Civil Engineering
2796,Other Engineering
2797,Computer Software
2798,Ground Transport
2799,Automotive Engineering
2800,Aerospace Engineering
2801,Mechanical Engineering
2802,Statistics
2803,Other Environmental Sciences
2804,Civil Engineering
2805,Environmental Engineering
2806,Aerospace Engineering
2807,Materials Engineering
2808,Construction Materials Performance and Processes
2809,Numerical and Computational Mathematics
2810,Renewable Energy
2811,Civil Engineering
2812,Mechanical Engineering
2813,Geophysics
2814,Interdisciplinary Engineering
2815,"Environmental Policy, Legislation and Standards"
2816,Environmentally Sustainable Transport
2817,Aerospace Engineering
2818,Microbiology
2819,Urban and Regional Planning
2820,Computer Software
2821,Environmental Engineering
2822,Engineering Design
2823,Communications Technologies
2824,Other Information and Computing Sciences
2825,Numerical and Computational Mathematics
2826,Physical Geography and Environmental Geoscience
2827,Computer Software
2828,Distributed Computing
2829,Civil Engineering
2830,Maritime Engineering
2831,Numerical and Computational Mathematics
2832,Computer Software
2833,Biomedical Engineering
2834,Artificial Intelligence and Image Processing
2835,Applied Mathematics
2836,Numerical and Computational Mathematics
2837,Mechanical Engineering
2838,Land and Water Management
2839,Quantum Physics
2840,Biomedical Engineering
2841,Clinical Sciences
2842,Computer Software
2843,Manufacturing Engineering
2844,Engineering Design
2845,Mechanical Engineering
2846,Architecture
2847,Mechanical Engineering
2848,Environmental Engineering
2849,Interdisciplinary Engineering
2850,Other Engineering
2851,Aerospace Engineering
2852,Electrical and Electronic Engineering
2853,Electrical and Electronic Engineering
2854,Electrical and Electronic Engineering
2855,Other Environmental Sciences
2856,Quantum Physics
2857,Macromolecular and Materials Chemistry
2858,Soil Sciences
2859,Maritime Engineering
2860,Oceanography
2861,Physical Geography and Environmental Geoscience
2862,Civil Engineering
2863,Computer Software
2864,Computer Software
2865,Library and Information Studies
2866,Atmospheric Sciences
2867,Aerospace Transport
2868,Air Quality
2869,Geophysics
2870,Civil Engineering
2871,Other Technology
2872,Water resources engineering
2873,Surface water quality processes and contaminated sediment assessment
2874,Linguistics not elsewhere classified
2875,Ecology not elsewhere classified
2876,Mechanical engineering not elsewhere classified
2877,Automotive engineering not elsewhere classified
2878,Condensed matter modelling and density functional theory
2879,Modelling and simulation
2880,"Building science, technologies and systems"
2881,Rehabilitation
2882,Rheumatology and arthritis
2883,Physiotherapy
2884,System and network security
2885,"Coding, information theory and compression"
2886,Software engineering not elsewhere classified
2887,Pattern recognition
2888,Data mining and knowledge discovery
2889,Computational complexity and computability
2890,Knowledge and information management
2891,Networking and communications
2892,System and network security
2893,"Coding, information theory and compression"
2894,Software engineering not elsewhere classified
2895,Networking and communications
2896,System and network security
2897,Combinatorics and discrete mathematics (excl. physical combinatorics)
2898,Numerical and computational mathematics not elsewhere classified
2899,Aerodynamics (excl. hypersonic aerodynamics)
2900,Fluid mechanics and thermal engineering not elsewhere classified
2901,Turbulent flows
2902,Chemical engineering not elsewhere classified
2903,Chemical engineering not elsewhere classified
2904,Networking and communications
2905,Geology not elsewhere classified
2906,Physical geography and environmental geoscience not elsewhere classified
2907,Quaternary environments
2908,Sedimentology
2909,Geomorphology and earth surface processes
2910,Other chemical sciences not elsewhere classified
2911,Clinical microbiology
2912,Signal processing
2913,Educational psychology
2914,Educational psychology
2915,Educational psychology
2916,Other education not elsewhere classified
2917,Architectural science and technology
2918,"Building science, technologies and systems"
2919,Artificial intelligence not elsewhere classified
2920,Artificial life and complex adaptive systems
2921,Evolutionary computation
2922,Fuzzy computation
2923,Software engineering not elsewhere classified
2924,"Dynamics, vibration and vibration control"
2925,Digital processor architectures
2926,Other information and computing sciences not elsewhere classified
2927,Computational  Biology
2928,Computational  Biology
