id,views,downloads,shares
737987,587,314,0
18093383,223,28,0
828475,1897,184,0
19918264,21,3,0
15073668,12,1,0
14732067,12,5,0
19447664,9,0,0
11412984,60,128,0
13366244,95,12,0
14903055,23,7,0
12456260,122,25,0
16655176,12,2,0
13108460,53,3,0
11036855,54,177,0
1483523,768,93,0
19085432,30,3,0
6875666,100,31,0
19447712,13,0,0
95789,273,185,0
754624,1011,410,0
1267324,234,157,0
3511136,471,0,0
14627127,37,6,0
3510299,291,78,0
4558135,277,66,0
5285353,172,133,0
16641541,26,4,0
434665,243,123,0
19447718,14,1,0
6104702,663,215,3
15129750,23,12,0
2493829,440,81,0
658722,97,226,0
11470869,261,23,0
12921926,97,17,0
1394809,13259,41014,0
1173232,375,365,0
11950554,122,13,0
12316958,120,15,0
12445046,98,29,0
1281094,669,183,0
5756478,305,101,0
1164159,5952,464,0
13108454,37,4,0
157106,487,216,0
1097354,602,173,0
3487394,226,137,0
1548444,1154,356,0
3980046,651,225,0
13108442,98,3,0
14627109,46,4,0
5028836,507,132,0
5084632,266,46,0
899201,530,107,0
1447245,753,251,0
1559984,316,200,0
8256554,47,177,0
1243325,384,410,0
16778809,36,7,0
5766816,228,32,0
13108457,53,4,0
16780576,40,7,0
16763779,55,7,0
4707457,676,353,0
4276370,306,58,0
3980055,1023,260,0
12921923,119,23,0
157111,441,296,0
6104729,346,215,0
12993086,159,21,0
11947803,231,147,0
14912376,75,11,0
1061936,479,234,0
7011701,549,86,34
1186829,357,267,0
16778920,50,9,0
12044067,85,40,0
1394602,14136,14308,0
1162481,489,183,0
12456248,107,35,0
1146315,874,17,0
735794,563,134,0
3980031,768,234,0
863796,4540,197,0
12921914,109,12,0
19455080,72,14,0
3980037,549,202,0
11474505,147,24,0
1269349,387,128,0
9941855,143,39,0
5956624,416,51,0
5766915,219,59,0
1391884,852,246,0
6104741,325,211,0
1097624,630,180,0
11328599,134,0,0
861039,486,201,0
19126517,24,4,0
6982931,265,235,0
105654,488,212,0
1094327,591,255,0
14306879,21,0,0
1529329,480,232,0
3175048,997,253,0
1480457,544,506,0
978730,8849,384,0
1036379,1843,256,0
888336,869,221,0
5572597,452,132,0
12465692,95,1,0
1417848,1022,340,0
8426843,176,170,0
96968,323,43,0
1441362,525,156,0
1036393,651,73,0
1619682,2244,93,0
3470396,1524,73,0
14723259,107,21,0
1061475,531,220,0
1067079,521,215,0
1500789,6756,339,0
1233912,2219,320,0
828581,2066,208,0
709618,1682,205,0
12456296,80,22,0
14450502,35,6,0
1159429,673,310,0
19085162,25,1,0
14369546,22,3,0
19448099,9,0,0
105658,436,220,0
13108502,39,2,0
658729,151,166,0
6104681,463,202,2
11470866,87,26,0
16641556,22,1,0
16663669,12,3,0
3426446,761,205,0
155810,480,173,0
12290507,46,17,0
14627103,27,4,0
3463472,473,190,0
1480459,541,258,0
5493091,175,46,0
3980043,498,235,0
14450154,24,4,0
8256545,62,182,0
6850202,190,43,2
5017331,283,195,0
1110006,396,17,0
1027486,344,107,0
11295551,89,0,0
3369874,432,98,0
951915,3760,612,0
862945,788,395,0
3833532,789,228,0
3487418,621,195,0
16571049,65,11,0
16727179,55,23,0
1439708,1069,292,0
12932672,78,8,0
812620,592,95,0
899865,524,23,0
1254214,452,193,0
16797625,37,8,0
4707433,724,105,0
899206,408,265,0
102629,361,695,0
936565,654,126,0
6104720,788,228,5
14269019,88,15,0
20057054,15,1,0
12921911,138,15,0
14810280,35,10,0
11294414,104,13,0
1195884,329,228,0
13108505,72,8,0
13353266,177,39,0
1137126,926,538,0
16864369,60,8,0
13108445,115,1,0
12245231,132,27,0
6974117,258,360,0
11523150,87,23,0
3511156,989,1,0
14303834,31,7,0
14627118,49,3,0
1281098,570,83,0
3490166,417,225,0
863800,1822,144,0
863789,2293,192,0
1081874,119,12,0
1128921,599,153,0
157108,661,303,0
1002124,267,79,0
3511154,356,0,0
823550,207,109,0
4725475,299,37,0
1250147,379,235,0
1267421,607,320,0
16641550,24,4,0
7064231,421,64,0
4019160,845,77,0
9929999,134,484,0
3114655,526,247,0
1334302,637,298,0
5327953,471,142,0
103125,317,86,0
19390700,72,6,0
16641529,40,6,0
14627100,50,5,0
644497,5960,2326,0
1044131,1775,166,0
1267328,775,234,0
19126529,26,4,0
19083365,31,4,0
13208237,52,5,0
7081280,223,38,0
1480454,783,275,0
14292425,25,7,0
3753354,576,166,0
6104672,400,207,2
6210227,1927,325,4654
974533,341,198,0
1195887,1185,449,0
17163554,29,5,0
1195879,452,259,0
899864,327,28,0
97662,3367,480,0
1507525,333,81,0
17166587,22,0,0
1466791,372,13,0
17013389,19,3,0
12921908,127,21,0
936908,725,128,0
863810,11477,1082,0
1194975,8182,921,14
19779973,57,11,0
6104696,407,234,2
863795,10528,809,0
1309949,9122,839,48
1613314,520,147,0
863805,9032,1141,0
16376562,97,11,0
14445378,38,7,0
14732046,11,3,0
14979561,16,1,0
11036354,61,166,0
15073692,16,2,0
832447,348,66,0
5272345,147,32,0
19448093,9,1,0
1100443,134,3,0
5017265,241,237,0
11412993,53,148,0
3980025,824,229,0
16729672,14,4,0
12249761,89,28,0
6148223,179,31,0
7859327,69,144,0
976059,168,155,0
658707,142,216,0
5687482,456,454,0
14694939,52,5,0
105479,412,218,0
3511135,268,62,0
96969,125,41,0
105665,346,206,0
105480,371,181,0
3833535,547,235,0
661811,162,199,0
5182777,249,53,0
12598841,147,0,0
9931292,61,149,0
19448105,14,0,0
1186828,263,201,0
14998677,199,13,0
1092543,418,288,0
6104666,285,205,0
6104663,323,213,0
1347742,474,185,0
3980019,616,228,0
1170091,240,201,0
7409618,98,475,0
155809,334,144,0
9932363,92,135,0
1116196,503,19,0
915340,314,164,0
16550448,51,20,0
16728571,62,6,0
14376548,80,7,0
1060523,1008,241,0
12058455,227,17,0
13270418,187,15,0
1063268,684,327,0
13726870,166,44,0
11395380,110,8,0
19307843,27,5,0
884526,228,287,0
5611447,141,51,0
5182756,218,33,0
13108451,47,11,0
12921920,102,12,0
2009616,823,236,0
13108439,38,4,0
12210854,168,15,0
13174979,57,1,0
653990,142,332,0
6104717,350,212,2
19447466,14,1,0
19447577,11,0,0
15051930,43,36,0
7898114,150,24,0
14561982,18,9,0
904935,286,51,0
5611975,124,49,0
3122758,632,236,0
19501324,40,3,0
1507514,428,108,0
16772410,52,8,0
863791,1476,108,0
658735,352,221,0
14577156,80,6,0
5018780,329,148,0
1143942,1124,263,0
7855319,368,85,0
863794,3181,128,0
19611594,35,1,0
19085147,20,1,0
1133882,451,14,0
11445411,297,18,0
5051857,320,251,0
13547009,87,11,0
8256569,58,178,0
863797,7672,622,0
6104699,732,245,3
911326,571,28,0
6104711,426,236,3
6104708,697,355,4
3080356,441,56,0
5285557,201,133,0
17166716,31,0,0
6104744,685,381,0
19488059,22,4,0
881817,375,202,0
19500707,26,2,0
886196,1551,118,0
863792,1613,110,0
888360,735,289,0
749624,190,5,0
7745066,193,14,0
14216526,296,56,0
3511127,545,115,0
16850917,73,6,0
1441358,444,147,0
16641559,21,3,0
1281097,492,414,0
658926,142,188,0
97595,1856,1028,0
729046,2203,39,0
888467,2743,464,0
863798,3406,143,0
769232,408,224,0
644159,553,190,0
12444074,197,25,0
18899801,220,33,0
863799,9200,695,0
5487322,1845,387,0
709541,109,37,0
1198523,246,4,0
13669832,21,1,0
19448078,9,0,0
1128920,518,157,0
6193259,106,23,0
16867111,10,1,0
5393974,638,405,0
19085138,24,1,0
16653142,21,6,0
9931835,75,472,0
1579270,382,40,0
16641325,41,5,0
6104660,343,199,8
12471575,75,31,0
1170095,238,191,0
3978144,625,251,0
12630455,46,9,0
5018804,323,251,0
1030364,415,260,0
98206,154,38,0
7528865,125,26,0
6205622,93,32,0
833955,376,102,0
19102661,19,2,0
12581033,120,60,0
12782300,91,16,0
5314543,175,48,0
1281396,412,276,0
855621,815,353,0
1559985,283,66,0
3464174,406,239,0
12471599,116,19,0
863793,941,84,0
3511146,232,0,0
1559986,247,57,0
5018801,916,223,0
3458843,596,232,0
1173729,398,125,0
3969102,437,40,0
6849806,88,172,0
5521717,167,54,0
5016077,352,39,0
6148277,125,37,0
8047373,131,0,0
13717831,29,9,0
911657,760,110,0
16641511,42,4,0
3510295,1164,79,0
4591891,225,279,0
5182786,228,44,0
3848226,1057,382,0
1408674,957,437,0
7392224,120,66,0
7898111,146,36,0
863806,3366,144,0
14096459,444,27,5
6104669,425,207,2
6104687,572,327,5
2956237,390,244,0
16783393,38,6,0
863809,8702,939,0
3980040,620,214,0
5632255,105,58,0
6104723,307,198,2
12090420,94,1567,0
19126541,32,7,0
3980058,874,292,0
6104705,622,261,8
1559983,479,71,0
13030925,133,86,3
3756573,335,2,0
966459,346,64,0
7957640,221,42,0
12381674,115,20,0
6104732,547,230,2
16550385,51,7,0
3175273,1207,260,0
11470857,155,19,0
11471934,184,23,0
5866743,9617,1004,0
16726249,45,7,0
96393,2715,1628,0
1391887,3336,704,0
3471776,999,90,0
695930,894,497,0
16788787,40,8,0
1146316,363,13,0
863802,2466,2129,0
9117107,173,34,0
5373193,404,85,0
4212324,487,236,0
13014245,43,1,0
1195877,525,267,0
17659529,38,5,0
1267331,355,137,0
1106906,774,95,0
16799776,35,6,0
812619,682,94,0
899799,523,206,0
1195882,455,261,0
2859301,2797,62,0
5593198,885,94,0
6579062,192,34,0
3470393,251,258,0
3456860,1237,304,0
1267405,349,172,0
14199158,25,10,0
13669835,21,2,0
105655,614,269,0
6104747,519,203,0
863808,8201,777,0
11445474,79,10,0
3749967,438,154,0
7067183,181,66,0
881816,419,244,0
19241853,12,2,0
17163536,25,5,0
19121711,7,1,0
6104546,933,237,4
17163590,29,10,0
1195876,456,315,0
1195883,459,240,0
17166653,23,0,0
19351622,264,21,0
96967,233,26,0
1061441,1262,176,0
19403087,22,2,0
6104726,558,197,2
